Title,Price,Location,Bedrooms,Bathrooms,Property_Type,URL,Toilets,Parking_Space
Massive 5 Bedroom Detached Duplex with Plenty of Space,350000000,"Lekki,  Lagos",,,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/ikota/3370427-massive-5-bedroom-detached-duplex-with-plenty-of-space,,
Massive 5 Bedroom Detached Duplex with Plenty of Space,350000000,"Lekki,  Lagos",5.0,,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/ikota/3370427-massive-5-bedroom-detached-duplex-with-plenty-of-space,4.0,
Luxury Brand New 5 Bedroom Detached Duplex with a BQ,580000000,"Lekki,  Lagos",,,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/ikota/3370429-luxury-brand-new-5-bedroom-detached-duplex-with-a-bq,,
Luxury Brand New 5 Bedroom Detached Duplex with a BQ,580000000,"Lekki,  Lagos",5.0,,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/ikota/3370429-luxury-brand-new-5-bedroom-detached-duplex-with-a-bq,6.0,
4 Bedroom Terraced Duplex,130000000,"Lekki,  Lagos",,,Terraced duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/victoria-garden-city/3409635-4-bedroom-terraced-duplex,,
4 Bedroom Terraced Duplex,130000000,"Lekki,  Lagos",4.0,4.0,Terraced duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/victoria-garden-city/3409635-4-bedroom-terraced-duplex,5.0,
Luxury 5 Bedroom Fully Detached Duplex,700000000,"Lekki,  Lagos",,,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/3409599-luxury-5-bedroom-fully-detached-duplex,,
Luxury 5 Bedroom Fully Detached Duplex,700000000,"Lekki,  Lagos",5.0,5.0,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/3409599-luxury-5-bedroom-fully-detached-duplex,6.0,3.0
Newly Built 4 Bedroom Semi Detached Duplex with BQ,260000000,"Surulere,  Lagos",,,Semi-detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/surulere/3400968-newly-built-4-bedroom-semi-detached-duplex-with-bq,,
Newly Built 4 Bedroom Semi Detached Duplex with BQ,260000000,"Surulere,  Lagos",4.0,4.0,Semi-detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/surulere/3400968-newly-built-4-bedroom-semi-detached-duplex-with-bq,5.0,
5 Bedrooms Detached Duplex,650000000,"Lekki,  Lagos",,,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/3409460-5-bedrooms-detached-duplex,,
5 Bedrooms Detached Duplex,650000000,"Lekki,  Lagos",5.0,5.0,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/3409460-5-bedrooms-detached-duplex,6.0,
Luxury 5 Bedroom Detached Duplex with BQ & Pool,490000000,"Lekki,  Lagos",,,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/3409374-luxury-5-bedroom-detached-duplex-with-bq-pool,,
Luxury 5 Bedroom Detached Duplex with BQ & Pool,490000000,"Lekki,  Lagos",5.0,5.0,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/3409374-luxury-5-bedroom-detached-duplex-with-bq-pool,6.0,
Newly Built 4 Bedroom Semi Detached Duplex with a Room BQ,560000000,"Ikeja,  Lagos",,,Semi-detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/ikeja/omole-phase-1/3409330-newly-built-4-bedroom-semi-detached-duplex-with-a-room-bq,,
Newly Built 4 Bedroom Semi Detached Duplex with a Room BQ,560000000,"Ikeja,  Lagos",4.0,4.0,Semi-detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/ikeja/omole-phase-1/3409330-newly-built-4-bedroom-semi-detached-duplex-with-a-room-bq,5.0,3.0
Modern 4 Bedrooms Fully Detached with Swimming Pool,150000000,"Ajah,  Lagos",,,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ajah/3409278-modern-4-bedrooms-fully-detached-with-swimming-pool,,
Modern 4 Bedrooms Fully Detached with Swimming Pool,150000000,"Ajah,  Lagos",4.0,5.0,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ajah/3409278-modern-4-bedrooms-fully-detached-with-swimming-pool,5.0,
Contemporary 2 Bedroom Apartment,200000000,"Ikate,  Lekki,  Lagos",,,Flat / apartment for sale,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/ikate/3409093-contemporary-2-bedroom-apartment,,
Contemporary 2 Bedroom Apartment,200000000,"Ikate,  Lekki,  Lagos",2.0,3.0,Flat / apartment for sale,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/ikate/3409093-contemporary-2-bedroom-apartment,3.0,3.0
Contemporary 1 Bedroom Apartment,130000000,"Lekki,  Lagos",,,Mini flat (room and parlour) for sale,https://nigeriapropertycentre.com/for-sale/flats-apartments/mini-flats/lagos/lekki/ikate/3409088-contemporary-1-bedroom-apartment,,
Contemporary 1 Bedroom Apartment,130000000,"Lekki,  Lagos",1.0,2.0,Mini flat (room and parlour) for sale,https://nigeriapropertycentre.com/for-sale/flats-apartments/mini-flats/lagos/lekki/ikate/3409088-contemporary-1-bedroom-apartment,2.0,2.0
Luxury 5-Bedroom Fully Detached Smart Duplex with Bq (Walkway),350000000,"Lekki,  Lagos",,,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/3409078-luxury-5-bedroom-fully-detached-smart-duplex-with-bqwalkway,,
Luxury 5-Bedroom Fully Detached Smart Duplex with Bq (Walkway),350000000,"Lekki,  Lagos",5.0,,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/3409078-luxury-5-bedroom-fully-detached-smart-duplex-with-bqwalkway,,
Luxury 5-Bedroom Fully Detached Smart Duplex with BQ,550000000,"Lekki,  Lagos",,,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/3409075-luxury-5-bedroom-fully-detached-smart-duplex-with-bq,,
