Unnamed: 0,Title,Location,Price,Bedrooms,Bathrooms,Toilets,Property Type,URL,Scraped_By,title,location,price,bedrooms,bathrooms,toilets,property_type,url
,,,,,,,,,data/Island_Luxury_Data.csv,Premium 3 Bedroom Apartment +bq+gym+pool+tennis,"Ikoyi, Lagos","₦35,000,005 per annum",3.0,3.0,4.0,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/2493623-premium-3-bedroom-apartment-bqgympooltennis
,,,,,,,,,data/Island_Luxury_Data.csv,Premium 3 Bedroom Apartment +bq+gym,"Parkview, Ikoyi, Lagos","₦21,000,000 per annum",3.0,3.0,4.0,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/parkview/2543174-premium-3-bedroom-apartment-bqgym
,,,,,,,,,data/Island_Luxury_Data.csv,Luxury 4 Bedroom Apartment +bq+pool+gym+tennis+squash,"Off Banana Island Road, Ikoyi, Lagos","₦40,000,000 per annum",4.0,4.0,5.0,4 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/3151943-luxury-4-bedroom-apartment-bqpoolgymtennissquash
,,,,,,,,,data/Island_Luxury_Data.csv,Luxury 5 Bedroom Semi Detached House +bq,"Banana Island Estate, Banana Island, Ikoyi, Lagos","₦89,999,900 per annum",5.0,5.0,6.0,5 bedroom semi-detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/semi-detached-duplexes/lagos/ikoyi/banana-island/3271155-luxury-5-bedroom-semi-detached-house-bq
,,,,,,,,,data/Island_Luxury_Data.csv,1000sqmts Luxury Office Space,"Old Ikoyi, Ikoyi, Lagos","$645 per square meter / per annum 
approx. ₦916,584",0.0,3.0,3.0,Office space for rent,https://nigeriapropertycentre.com/for-rent/commercial/offices/lagos/ikoyi/old-ikoyi/3278620-1000sqmts-luxury-office-space
,,,,,,,,,data/Island_Luxury_Data.csv,Luxury 3 Bedroom Terrace House/ Maisonette On 2 Floors+bq+pool+gym,"Old Ikoyi, Ikoyi, Lagos","₦35,000,000 per annum",3.0,3.0,4.0,3 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/ikoyi/old-ikoyi/3280021-luxury-3-bedroom-terrace-house-maisonette-on-2-floorsbqpoolgym
,,,,,,,,,data/Island_Luxury_Data.csv,Premium 5 Bedroom Terrace House +bq+squash+gym+tennis Etc,"Old Ikoyi, Ikoyi, Lagos","₦40,000,000 per annum",5.0,5.0,5.0,5 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/ikoyi/old-ikoyi/3289057-premium-5-bedroom-terrace-house-bqsquashgymtennis-etc
,,,,,,,,,data/Island_Luxury_Data.csv,Luxury 3 Bedroom Apartment +bq+pool+gym,"Old Ikoyi, Ikoyi, Lagos","₦29,999,999 per annum",3.0,3.0,4.0,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/old-ikoyi/3290018-luxury-3-bedroom-apartment-bqpoolgym
,,,,,,,,,data/Island_Luxury_Data.csv,Premium 4 Bedroom Apartment + Bq+pool,"Old Ikoyi, Ikoyi, Lagos","₦35,000,000 per annum",4.0,4.0,5.0,4 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/old-ikoyi/3290045-premium-4-bedroom-apartment-bqpool
,,,,,,,,,data/Island_Luxury_Data.csv,New Furnished 3 Bedroom Apartment + Bq,"2nd Avenue Estate Ikoyi, Ikoyi, Lagos","₦55,000,000 per annum",3.0,3.0,4.0,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/3290883-new-furnished-3-bedroom-apartment-bq
