Title,Location,Price,Bedrooms,Bathrooms,Toilets,Property Type,URL
Luxury 2 Bedrooms Terraced Duplex With Excellent Facility,"Abraham Adesanya Estate, Ajah, Lagos","₦ 6,500,000 per annum",2 Bedrooms,2 Bathrooms,3 Toilets,2 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/ajah/3288503-luxury-2-bedrooms-terraced-duplex-with-excellent-facility
Spacious 3 Bedrooms Semi Detached With Bq,"Ajah, Lagos","₦ 5,500,000 per annum",3 Bedrooms,3 Bathrooms,4 Toilets,3 bedroom semi-detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/semi-detached-duplexes/lagos/ajah/3288413-spacious-3-bedrooms-semi-detached-with-bq
Luxury 2 Bedroom All Ensuite Apartment In An Estate,"Olokonla, Ajah, Lagos","₦ 3,200,000 per annum",2 Bedrooms,2 Bathrooms,3 Toilets,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ajah/olokonla/3288061-luxury-2-bedroom-all-ensuite-apartment-in-an-estate
Self Contain,"Atlantic Gardens Estate, General Paint, Ajah, Lagos","₦ 800,000 per annum",1 Bathroom,1 Toilet,1 Parking Space,Self contain (single rooms) for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/self-contained/lagos/ajah/3180842-self-contain
3 Bedroom & Bq,"Ajah, Lagos","₦ 5,500,000 per annum",3 Bedrooms,3 Bathrooms,4 Toilets,3 bedroom semi-detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/semi-detached-duplexes/lagos/ajah/3287191-3-bedroom-bq
Luxury 4 Bedroom Semi Detached Duplex,"Off Mobile Road, Lekki Phase 2, Lekki, Lagos","₦ 6,500,000 per annum",4 Bedrooms,5 Bathrooms,5 Toilets,4 bedroom semi-detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/semi-detached-duplexes/lagos/lekki/lekki-phase-2/3287331-luxury-4-bedroom-semi-detached-duplex
Beautiful 2 Bedroom Apartment,"Sangotedo, Ajah, Lagos","₦ 3,800,000 per annum",2 Bedrooms,2 Bathrooms,3 Toilets,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ajah/sangotedo/3284038-beautiful-2-bedroom-apartment
Luxury 4 Bedroom Semi Detached With Excellent Facility,"Sangotedo, Ajah, Lagos","₦ 10,000,000 per annum",4 Bedrooms,4 Bathrooms,5 Toilets,4 bedroom semi-detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/semi-detached-duplexes/lagos/ajah/3286651-luxury-4-bedroom-semi-detached-with-excellent-facility
Spacious 2 Bedroom Apartment Upstairs,"Joseph Avenue Estate, Sangotedo, Ajah, Lagos","₦ 2,500,000 per annum",2 Bedrooms,2 Bathrooms,3 Toilets,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ajah/sangotedo/3286445-spacious-2-bedroom-apartment-upstairs
Luxury 4 Bedroom Semi-detached Duplex With Excellent Facilities,"General Paint, Ajah, Lagos","₦ 7,500,000 per annum",4 Bedrooms,,5 Toilets,4 bedroom semi-detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/semi-detached-duplexes/lagos/ajah/3286325-luxury-4-bedroom-semi-detached-duplex-with-excellent-facilities
Brand New 3 Bedroom Terrace Duplex With Solar,"Ajah, Lagos","₦ 7,000,000 per annum",3 Bedrooms,4 Bathrooms,4 Toilets,3 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/ajah/3286255-brand-new-3-bedroom-terrace-duplex-with-solar
Spacious 2 Bedroom Apartment,"Sangotedo, Ajah, Lagos","₦ 2,500,000 per annum",2 Bedrooms,2 Bathrooms,3 Toilets,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ajah/sangotedo/3286198-spacious-2-bedroom-apartment
Spacious 2 Bedroom With Fitted Acs Within A Mini Estate,"Blenco, Sangotedo, Ajah, Lagos","₦ 3,800,000 per annum",2 Bedrooms,2 Bathrooms,3 Toilets,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ajah/sangotedo/3286189-spacious-2-bedroom-with-fitted-acs-within-a-mini-estate
Well Maintained 2-bedroom Terrace Duplex With Bq,"General Paint, Ajah, Lagos","₦ 5,000,000 per annum",2 Bedrooms,2 Bathrooms,3 Toilets,2 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/ajah/3286007-well-maintained-2-bedroom-terrace-duplex-with-bq
4-bedroom Semi-detached Duplex,"Off Mobil Road, Ajah, Lagos","₦ 7,000,000 per annum",4 Bedrooms,4 Bathrooms,5 Toilets,4 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/ajah/3274267-4-bedroom-semi-detached-duplex
Luxury 2 Bedrooms Flat In Serene Location,"Badore Road, Badore, Ajah, Lagos","₦ 3,000,000 per annum",2 Bedrooms,2 Bathrooms,3 Toilets,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ajah/badore/3285949-luxury-2-bedrooms-flat-in-serene-location
Fully Furnished 4 Bedroom Detached Duplex 24/7 Light In A Mini Estate,"Ilaje, Ajah, Lagos","₦ 10,000,000 per annum",4 Bedrooms,5 Bathrooms,5 Toilets,4 bedroom detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/detached-duplexes/lagos/ajah/ilaje-ajah/3227611-fully-furnished-4-bedroom-detached-duplex-247-light-in-a-mini-estate
2 Bedroom Apartment With Solar,"Ajah, Lagos","₦ 6,500,000 per annum",2 Bedrooms,2 Bathrooms,3 Toilets,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ajah/3284969-2-bedroom-apartment-with-solar
2 Bedroom Apartment,"Ajah, Lagos","₦ 6,500,000 per annum",2 Bedrooms,2 Bathrooms,3 Toilets,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ajah/3284894-2-bedroom-apartment
Clean 2 Bedroom With Fitted Acs In A Mini Estate,"Sangotedo, Ajah, Lagos","₦ 3,800,000 per annum",2 Bedrooms,2 Bathrooms,3 Toilets,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ajah/sangotedo/3284819-clean-2-bedroom-with-fitted-acs-in-a-mini-estate
4 Bedroom Semidetached With Bq And Fitted Kitchen,"Ajah, Lagos","₦ 10,000,000 per annum",4 Bedrooms,4 Bathrooms,5 Toilets,4 bedroom detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/detached-duplexes/lagos/ajah/3284808-4-bedroom-semidetached-with-bq-and-fitted-kitchen
Newly Built 4 Bedroom Detached Duplex,"Behind Shoprite, Sangotedo, Ajah, Lagos","₦ 7,000,000 per annum",4 Bedrooms,4 Bathrooms,5 Toilets,4 bedroom detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/detached-duplexes/lagos/ajah/sangotedo/3284571-newly-built-4-bedroom-detached-duplex
Spacious 5bedroom Fully Detached Duplex At Orchid Road,"Orchid Road, By T Ajah, Lekki, Lagos","₦ 15,000,000 per annum",5 Bedrooms,5 Bathrooms,6 Toilets,5 bedroom detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/detached-duplexes/lagos/lekki/3284544-spacious-5bedroom-fully-detached-duplex-at-orchid-road
Spacious 2 Bedroom Apartment,"Sangotendo, Ajah, Lagos","₦ 3,000,000 per annum",2 Bedrooms,3 Bathrooms,3 Toilets,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ajah/3284468-spacious-2-bedroom-apartment
A Very Spacious Three Bedroom Apartment,"Ado Road, Ajah, Lagos","₦ 3,600,000 per annum",3 Bedrooms,3 Bathrooms,4 Toilets,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ajah/3284435-a-very-spacious-three-bedroom-apartment
Spacious 2 Bedroom Apartment,"Sangotedo, Ajah, Lagos","₦ 3,800,000 per annum",2 Bedrooms,,,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ajah/sangotedo/3284030-spacious-2-bedroom-apartment
Luxury 2 Bedroom Apartment,"Sangotedo, Ajah, Lagos","₦ 4,000,000 per annum",2 Bedrooms,2 Bathrooms,3 Toilets,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ajah/sangotedo/3283923-luxury-2-bedroom-apartment
2 Bedroom Apartment,"Off Mobil Road, Ilaje, Ajah, Lagos","₦ 3,500,000 per annum",2 Bedrooms,2 Bathrooms,3 Toilets,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ajah/ilaje-ajah/3283871-2-bedroom-apartment
Spacious 2 Bedroom Apartment Upstairs,"Silverland Estate, Sangotedo, Ajah, Lagos","₦ 2,800,000 per annum",2 Bedrooms,2 Bathrooms,3 Toilets,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ajah/sangotedo/3283437-spacious-2-bedroom-apartment-upstairs
Very Sharp 2 Bedroom Apartment,"Sangotedo, Ajah, Lagos","₦ 3,500,000 per annum",2 Bedrooms,2 Bathrooms,3 Toilets,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ajah/sangotedo/3283423-very-sharp-2-bedroom-apartment
Spacious 3 Bedroom Apartment,"Off Abraham Adesanya, Ajah, Lagos","₦ 2,500,000 per annum",3 Bedrooms,2 Bathrooms,3 Toilets,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ajah/3283333-spacious-3-bedroom-apartment
Spacious Luxury 3 Bedroom Flat With Excellent Features,"Alasela Estate, Ogombo, Ajah, Lagos","₦ 3,000,000 per annum",3 Bedrooms,4 Bathrooms,4 Toilets,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ajah/ogombo/3283262-spacious-luxury-3-bedroom-flat-with-excellent-features
Open Space/supermarket,"Badore, Ajah, Lagos","₦ 700,000 per annum",,,,Commercial property for rent,https://nigeriapropertycentre.com/for-rent/commercial/lagos/ajah/badore/3283085-open-spacesupermarket
An Executive Two Bedrooms Flat,"Jubril Estate, By Coastal Road, Okun-ajah, Ajah, Lagos","₦ 1,500,000 per annum",2 Bedrooms,,,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ajah/3282970-an-executive-two-bedrooms-flat
An Executive Two Bedroom Duplex,"Amity Estate, By Coastal Road,  Okun-ajah, Ajah, Lagos","₦ 2,500,000 per annum",2 Bedrooms,,,2 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/ajah/3282962-an-executive-two-bedroom-duplex
Fully Furnished 1 Bedroom Apartment In A Serviced And Secured Estate.,"Abraham Adesanya, Ajah, Lagos","₦ 4,500,000 per annum",1 Bedroom,1 Bathroom,2 Toilets,1 bedroom mini flat (room and parlour) for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/mini-flats/lagos/ajah/3282926-fully-furnished-1-bedroom-apartment-in-a-serviced-and-secured-estate
4 Bedroom Terrace Duplex,"Ajah, Lagos","₦ 6,000,000 per annum",4 Bedrooms,4 Bathrooms,5 Toilets,4 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/ajah/3282915-4-bedroom-terrace-duplex
Beautifully Furnished 2 Bedrooms Terraced Duplex With Pool And Gym,"Ajah, Lagos","₦ 8,000,000 per annum",2 Bedrooms,2 Bathrooms,3 Toilets,2 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/ajah/3282853-beautifully-furnished-2-bedrooms-terraced-duplex-with-pool-and-gym
